name,born_year,bio,Filmography
Alex Hardcastle,1972,"
          Alex Hardcastle is an award-winning director of film and television, and has worked with some of the biggest names in comedy and drama including Robin Williams, Steve Carell, Jane Fonda, Lily Tomlin, Chris Pratt, Daniel Radcliffe, Rebel Wilson, Barry Humphries, Jon Hamm and Amy Poehler. Alex has directed nearly 200 episodes of television, including some of America's most popular television shows The Office, Parks & Recreation, New Girl, Crazy Ex-Girlfriend, Superstore, The Middle, You're The Worst, Grace & Frankie, Love Victor, Fresh off the Boat and The Mindy Project. He has also directed critically acclaimed projects including the Gothic horror comedy A Young Doctor's Notebook (starring Daniel Radcliffe and Jon Hamm) and The Increasingly Poor Decisions of Todd Margaret (starring David Cross, Sharon Horgan & Will Arnett). In 2021, Alex directed SENIOR YEAR, his movie debut. The Paramount Players feature stars Rebel Wilson, Alicia Silverstone, Justin Hartley, Chris Parnell, Mary Holland and Sam Richardson and is set for release in Spring 2022 on Netflix. In the UK Alex directed the pilot and first two series of the most successful & longest-running multi-cam sitcom of all time, Not Going Out (BBC1) and over 25 episodes of the critically acclaimed Lead Balloon (BBC2), as well as the pilot for the award-winning School of Comedy (Channel 4). He has also produced some of the biggest selling stand up DVD's of all time including Lee Evans XL, Jack Dee Live and Lee Mack Live, and music specials with Elton John, Rod Stewart, The Spice Girls. Alex was nominated for Best Director at the American TV Awards 2012 for his work on SUBURGATORY, and was selected as RISING STAR OF TOMORROW by Screen International 2014. In 2017 he was included in Indiewire's list of the 20 best directed TV-shows of the 21st Century. His shows have been nominated for Golden Globes, Emmys and BAFTAs. Alex is in pre-production on a new feature film PLANET OF THE NERDS, an time-travelling action adventure movie for Paramount Pictures. 
          ",Not Going Out
Danny Leiner,1961,"
          In addition to writing and directing, Danny has recently formed the production company, SLY DOG FILMS, with writer-producer  . Danny was also the lead guitarist in the seminal Brooklyn garage band, The Flying Guacamoles. 
          ",Layin' Low;Time Expired
John Scott,1966,"
          John Scott is a seasoned American television director and producer who launched his directing career on NIP/TUCK, GLEE and AMERICAN HORROR STORY. Coming from being a successful camera operator/D.P. John is known for his terrific visual style and excels in complex storytelling, VFX, action, comedy and dynamic performances. In addition, John has recently directed STAR TREK DISCOVERY for CBS All Access and YOU for Netflix. He was previously the Producer/Director on ABC's MISTRESSES and the tv pilot Sunset Bar. He has directed multiples of THE MAGICIANS for Syfy/UCP where which he had an episode listed in 2018 Rolling Stones Ten Best Episodes of TV. His reel is available at https://www.johnscottdirector.com/ 
          ",One of Us Is Lying;Mistresses;Sunset Bar
Marc Webb,1974,"
          Marc Webb is an American film and music video director. He directed over 100 music videos before he made his film directorial debut with 500 Days of Summer, a romantic comedy. He later directed The Amazing Spider-Man and its 2014 sequel starring Andrew Garfield and Emma Stone. The box office under-performance of the second film resulted in Spider-Man: Homecoming. He also directed Gifted and The Only Living Boy in New York. He had two children from his wife Jane Herman. 
          ",Crazy Ex-Girlfriend;Limitless;CineMash: Sid and Nancy;No Doubt: Return of Saturn
Charlie Grandy,1974,"
          Charlie Grandy was born on March 5, 1974 in New York City, New York, USA. He is a writer and producer, known for   (2005),   (1975) and   (2012). He has been married to Sage Easterbrook Davis since July 11, 2004. 
          ",Angry Birds;The Office;2005 MTV Movie Awards;2002 MTV Video Music Awards
Michael Spiller,1961,"
          Michael Spiller was raised in Brooklyn, New York. He attended SUNY Purchase where he met long time collaborator Hal Hartley. Mike photographed many feature films for Hal and others, as well as traveling the world shooting numerous documentaries, commercials and music videos. He began his directing career on the second season of HBO's Sex and the City which he had been shooting since the first season. After four years as DP and seven episodes as director, Mike and his family moved to LA to further pursue his directing career. He has now directed well over a hundred episodes of TV including over 20 episodes of Modern Family and Scrubs, along with multiple episodes of The New Girl, The Middle, The Bernie Mac Show, Kitchen Confidential, as well as directing the pilot of Jake in Progress, and Big Day and serving as producer/director on both of those series for ABC. His dramatic work includes five episodes of Ugly Betty, two each of Life as We Know It and the HBO series Big Love. He won the DGA award and the Primetime Emmy for directing the Halloween episode of Modern Family. (2014) Mike is an Executive Producer/Director on The Mindy Project for NBC Universal and Fox Network. Besides being a loving husband and father, he is a reluctant urban farmer. 
          ","Breaking Bone: My Lost Adventure with Bone Conn;American Masters;Sex and the City;No Such Thing;Drop Dead Gorgeous;Hell's Kitchen;Significant Others;Henry Fool;Niagara, Niagara;The House of Yes;Final Judgment: The Execution of Antonio James;Phinehas;Walking and Talking;Flirt;Search and Destroy;Opera No. 1;The Adventures of Pete & Pete;Amateur;Hand Gun;Spunk: The Tonya Harding Story;Lincoln and the War Within;Punch and Judy Get Divorced;Sonic Youth: 100%;Surviving Salvation;Wadeck's Mother's Friend's Son;Simple Men;Ambition;Surviving Desire;Angry;Fishing with John;My Birthday Cake;Sonic Youth: Dirty Boots;Age Isn't Everything;Smashing Pumpkins: Siva;Theory of Achievement;ABC Afterschool Specials;Trust;Sonic Youth: Kool Thing;The Unbelievable Truth;The Cartographer's Girlfriend;Tommy's;Kid"
Eric Appel,1980,"
          Eric Appel was born in 1980 in New York. He is a director and writer, known for   (2014),   (2013),   (2011), and   (2016), which he also served as an Executive Producer. He has a background in animation, sketch comedy, and studied improv at the Upright Citizens Brigade Theater. 
          ",Weird: The Al Yankovic Story;Son of Zorn;Hot Package;Funny or Die Undercover;Coffee Snobs;Funny or Die Presents...;The Other Guys NYPD Recruitment Video;Pacey-Con;The Big Dog;Pee-Wee Gets an iPad!;Paranormal Saw;Dow Jones;Lindsay Lohan's eHarmony Profile;American Contestant with Bob Odenkirk;Terrible Decisions with Ben Schwartz;Exclusive Dark Knight Deleted Scene
Brian Baumgartner,1972,"
          Brian Baumgartner was born on November 29, 1972 in Atlanta, Georgia, USA. He is an actor and producer, known for   (2005),   (2008) and   (2007). He has been married to Celeste Ackelson since April 26, 2014. 
          ",The Office
Daniel Chun,1980,,The Simpsons
Bryan Cranston,1956,"
          Bryan Lee Cranston was born on March 7, 1956 in Hollywood, California, to Audrey Peggy Sell, a radio actress, and  , an actor and former amateur boxer. His maternal grandparents were German, and his father was of Irish, German, and Austrian-Jewish ancestry. He was raised in the Canoga Park neighborhood of Los Angeles, and also stayed with his grandparents, living on their poultry farm in Yucaipa. Cranston's father walked out on the family when Cranston was eleven, and they did not see each other again until 11 years later, when Cranston and his brother decide to track down their father. Cranston is known for his roles as Walter White on the AMC crime drama   (2008), Hal on the Fox situation comedy   (2000), and Dr. Tim Whatley on five episodes of the NBC situation comedy   (1989). For his role on ""Breaking Bad"", he won the Primetime Emmy Award for Outstanding Lead Actor in a Drama Series four times (2008-2010, 2014), including three consecutive wins. After becoming one of the producers during the series' fourth and fifth seasons, he also won the Primetime Emmy Award for Outstanding Drama Series twice. In June 2014, Cranston won the Tony Award for Best Actor in a Play for his portrayal of   in the play ""All the Way"" on Broadway. He reprised the role of Lyndon Johnson in the television adaptation   (2016), which earned him widespread praise by critics. For the biographical drama   (2015), he earned widespread acclaim and was nominated for the Academy Award for Best Actor. Cranston also appeared in several acclaimed films, such as   (1998),   (2006),   (2011),   (2012) and   (2014). In 2019, he starred with   in the box office hit   (2017). 
          ",Sneaky Pete;The Dangerous Book for Boys;The Handlers;Last Chance
Kelly Cantley-Kashima,,,The Hollars;The Shangri-la Café
Jon Favreau,1966,"
          Initially an indie film favorite, actor Jon Favreau has progressed to strong mainstream visibility into the millennium and, after nearly two decades in the business, is still enjoying character stardom as well as earning notice as a writer/producer/director. The amiable, husky-framed actor with the tight, crinkly hair was born in Queens, New York on October 19, 1966, the only child of Madeleine (Balkoff), an elementary school teacher, and Charles Favreau, a special education teacher. His father has French-Canadian, German, and Italian ancestry, and his mother was from a Russian Jewish family. He attended the Bronx High School of Science before furthering his studies at Queens College in 1984. Dropping out just credits away from receiving his degree, Jon moved to Chicago where he focused on comedy and performed at several Chicago improvisational theaters, including the ImprovOlympic and the Improv Institute. He also found a couple of bit parts in films. While there, he earned another bit role in the film,   (1993), and met fellow cast mate  . Their enduring personal friendship would play an instrumental role in furthering both their professional careers within just a few years. Jon broke into TV with a role on the classic series,   (1989) (as ""Eric the Clown""). After filming rudimentary roles in the movies   (1994),   (1995) and   (1995), he decided to do some risk taking by writing himself and friend Vaughn into what would become their breakthrough film.   (1996), which he also co-produced, centers on Jon as a luckless, struggling actor type who is emotionally shattered after losing his girlfriend, but is pushed back into the L.A. social scene via the help of cool, worldly, outgoing actor/buddy Vaughn. These two blueprint roles went on to define the character types of both actors on film. In 1997, Jon appeared favorably on several episodes of the popular TV sitcom,   (1994), as ""Pete Becker"", the humdrum but extremely wealthy suitor for  's ""Monica"" character, and also appeared to fine advantage on the   (1996) comedy series. He later took on the biopic mini-movie,   (1999), portraying the prizefighter himself in a highly challenging dramatic role and received excellent reviews. Other engagingly offbeat ""everyman"" films roles came Jon's way -- the ex-athlete in the working class film,   (1997); a soon-to-be groom whose bachelor party goes horribly awry in the comedy thriller   (1998); a newlywed opposite   in   (2000); a wild and crazy linebacker in   (2000); as  's legal partner in   (2003); and another down-and-out actor in   (2003). He wrote and directed himself and Vaughn as two fellow boxers who involve themselves in criminal activity in   (2001). Both he and Vaughn produced. He also directed the highly popular   comedy   (2003), in which he had a small part. Jon went on to re-team favorably with his friend,  , who enjoyed a meteoric rise into the comedy star ranks, in such light-weight features as   (2006),   (2008) and   (2009), the last of which he co-wrote with Vaughn. Jon has made even greater strides as a writer, producer and/or director in recent years with the exciting mega-box office action-packed   (2008), starring  , and its sequels,   (2010) and   (2013). Jon's character of ""Happy Hogan"" would be featured in a number of Marvel Comic adventures. Other offerings behind the scenes have included the adventure dramedy   (2014), in which he also starred in the title role; the revamped film version of   (2012) also starring Downey Jr., and it's sequels   (2015),   (2018) and   (2019); and the animated Disney features   (2016) and   (2019) and the TV series   (2019). Favreau's marriage to Joya Tillem on November 24, 2000, produced son Max and two daughters, Madeleine and Brighton Rose. Joya is the niece of KGO (AM) lawyer and talk show host, Len Tillem. On the sly, the actor/writer/producer/director enjoys playing on the World Poker Tour. 
          ",Rangers of the New Republic;The Mandalorian;The Book of Boba Fett;FilmToons Logic;Chef;Chef;Couples Retreat;The First $20 Million Is Always the Hardest;Made;Smog;Swingers
Lee Kirk,,"
          Lee Kirk is a writer, director and actor, known for Ordinary World, The Giant Mechanical Man (2012), Pants on Fire (2008) and The Man Who Invented the Moon (2003). His play Sad Happy Sucker was produced in Los Angeles in 2009. He has been married to Jenna Fischer since July 3, 2010. They have two children. 
          ",Ordinary World;The Office;The Giant Mechanical Man
Jesse Peretz,,"
          Jesse Peretz was born in 1968. He is a director and producer, known for   (2011),   (2012) and   (2017). 
          ","Our Idiot Brother;The Château;First Love, Last Rites"
