name,rating,total_votes,user_reviews,critic_reviews,tags,storyLine,keyWords
The Last Mimzy,6.2,21K,139,114,Action;Adventure;Drama,"The siblings Noah and Emma travel with their mother Jo from Seattle to the family cottage in Whidbey Island to spend a couple of days while their workaholic father David Wilder is working. They find a box of toys from the future in the water and bring it home, and Emma finds a stuffed rabbit called Mimzy, and stones and a weird object, but they hide their findings from their parents. Mimzy talks telepathically to Emma and the siblings develop special abilities, increasing their intelligence to the level of genius. Their father becomes very proud when Noah presents a magnificent design in the fair of science and technology, and his teacher Larry White and his mystic wife Naomi Schwartz become interested in the boy when he draws a mandala. When Noah accidentally assembles the objects and activates a powerful generator creating a blackout in the state, the FBI arrests the family trying to disclose the mystery. But Emma reveals the importance to send Mimzy back to the future.",female protagonist;toy;soundwave;strong female;new line cinema;watching tv;fbi federal bureau of investigation;future;slimehouse;box;cottage;generator;science;boy;mandala;blackout;rabbit;no title at beginning;courage;compassion;force field;news report;microphone;golf club;magic;schoolteacher;little boy;security guard;little girl;house arrest;fbi agent;neurologist;national security;husband wife relationship;neon light;photograph;tears;genetics;atom;laboratory;anger;surveillance;levitation;sugar;palmistry;palm reader;sand dollar;crab the crustacean;modular;number;escape;capture;secret;flowers;fictional tv cooking show;easter vacation;school vacation;bug;seashell;wet suit;attic;telekinesis;radio frequency;radio;wind chime;tea;helicopter;power line;toilet;videotape;prison;two headed snake;snake;pollution;lottery;pajamas;underwear;chanting;bus;cheating;storytelling;security check;classmate;classroom;class;teacher student relationship;science teacher;computer;alien;ferry;kiss;dream;earphones;eyeglasses;eating;food;babysitter;magic trick;terrorism;terrorist;investigation;surveillance camera;doctor;bridge;astrology;cell phone;telephone call;telephone;flashback;scientist;sense of hearing;friendship;friend;dna;esp;school;science class;child driving a car;telepathy;stuffed animal toy;spider;science fair;psychokinesis;palm reading;neurology;meditation;golf;science experiment;far future;artificial intelligence;beach house;no opening credits;seattle washington;time travel;time capsule;teleportation;new age;mother son relationship;mother daughter relationship;homeland security agency;father son relationship;father daughter relationship;crystal;beach;girl;brother sister relationship;doll;title spoken by character;character name in title
The Office: The Accountants,7.7,806,2,,Short;Comedy;Mystery,$3000 dollars have gone missing from Dunder Mifflin and it's up to the accountants to figure out what happened.,tv mini series;fake documentary;mockumentary;based on tv series;sitcom;web series
My Super Ex-Girlfriend,5.2,64K,226,76,Comedy;Romance;Sci-Fi,"In New York, when the shy and lonely project manager of a design firm Matt Saunders meets Jenny Johnson in the subway, he invites her to date and have dinner with him. Jenny immediately falls in love for him, they have sex and she discloses her true identity to him, telling that she is the powerful superhero G-Girl. After meeting his co-worker and friend Hannah Lewis, the needy Jenny becomes jealous, controlling and manipulative, and Matt follows the advice of his best friend Vaughn Haige and dumps her, breaking her heart. Jenny turns Matt's life into hell, while he has a romance with Hannah. However, the archenemy of G-Girl and former high school sweetheart of Jenny, Professor Bedlam, proposes Matt to lure Jenny to strip her superpowers.",superhero;supernatural power;superhero spoof;femme fatale;architect;spurned woman;boyfriend girlfriend relationship;superheroine;super strength;super speed;new york city;action heroine;non comic book superhero;girlfriend from hell;animated closing credits;timeframe 2000s;new york;high school;date;sex;dinner;dating;radical transformation;hanging upside down;hanging from height;statue of liberty;painting toenails;bar;rough sex;walking;city;comedic sex scene;sex scene;spy camera;hidden camera;surveillance camera;bird spy drone;unfaithfulness;infidelity;extramarital affair;suburb;dumped by boyfriend;2000s;farce;misunderstanding;paranoia;fired from a job;crime of passion;closing credits sequence;playing footsie while in bed;playing footsie;telescope;statue of liberty new york city;racquetball;purse snatcher;hit by a car;girl fight;dumpster;chainsaw;breasts growing;neurotic;villainess;stalking;redemption;obsessive love;maniac;madness;flirting;desire;car accident;borderline personality disorder;teen movie;violence;villain;trap;transformation;tv news;super villain;strength;speed;shark;secret;secret life;secret identity;revenge;restaurant;obsession;newscaster;missile;meteor;kidnapping;jealousy;humiliation;heroine;grudge;flying;fight;evil plot;cheating;car;breakup;art gallery;apartment;adultery;tyrant;bully;man wears eyeglasses;woman wears eyeglasses;ex boyfriend ex girlfriend relationship
Dominion,4.5,42,,,Horror,,f rated
The Life Coach,5.5,137,,,Comedy,A mockumentary about the rise and fall of Hollywood's life coach to the stars.,life coach
Entourage,8.5,166K,195,31,Comedy;Drama,,california;friendship between men;2000s;2010s;culture shock;group of friends;male protagonist;crude humor comedy;timeframe 2000s;timeframe 2010s;female rear nudity;female full rear nudity;showbiz drama;showbiz comedy;sitcom;actor;siblings living together;hollywood california;fame;celebrity;one word title;smoking marijuana;eccentricity;gay personal assistant;theatrical agent;los angeles california;film industry;womanizer;wealth;sex talk;multiple cameos;movie star;friendship;carelessness;brother brother relationship;beverly hills california
Six Feet Under,8.8,131K,355,52,Comedy;Drama,,funeral home;daydream;talking to the dead;husband wife relationship;boyfriend girlfriend relationship;mortuary;cult favorite;self destructiveness;2000s;undertaker;vito russo test passed;queer;gay relationship;gay christian;gay character;male protagonist;domestic drama;timeframe 2000s;psychological drama;funeral;prodigal son;death;dysfunctional family;homosexual;gay african american;interracial relationship;widow;corpse;homosexuality;gay couple;lie;self discovery;returning character killed off;photographer;loss of husband;friendship;embalming;dark secret;black stereotype;male pride;employer employee relationship;dark comedy;hearse;rebellious daughter;dysfunctional relationship;drug abuse;african american;boyfriend boyfriend relationship;melodrama;los angeles california;interracial romance;dating;mother son relationship;mother daughter relationship;loss of father;funeral director;brother sister relationship;brother brother relationship;black comedy;homosexual love;family business;necrophobia
Wheelmen,4.4,112,4,,Comedy,,
Blue in Green,7.8,39,,,Drama,,desire;color in title;spiritual;spirituality;improvisation;ensemble cast;digital video;birthday party;independent film
Sahara,6,97K,520,157,Action;Adventure;Comedy,"Retired US admiral Sandecker's foundation finances various projects worldwide, including high tech marine salvage by brilliant Dirk Pitt's US Navy Seal veterans team including buddy Al Giordino, which dreams of finding the mysteriously missing Confederal gold aboard the ironclad battleship 'of Death'. Pitts bumps into evidence for his theory it crossed the Atlantic up the river Niger, where the admiral has an environmental project. Alas, it's a West African dictatorship where the ruthless president suppresses the desert people, in league with billionaire French energy industrialist Yves Massarde. Saving reckless WHO epidemics researcher Dr. Eva Rojas, he learns the secret abducted tribal slaves-run waste plant's toxic output threatens, through an underground fluvial system, to pollute the ocean and hence cause a global killer epidemic.",beach;evil man;good versus evil;bare chested male;disguise;dinner;loyalty;bully;gift;party;syringe;contraband;diving;cave;bribery;towel;vomiting;movie flop;desert in title;place name in title;place in title;cia central intelligence agency;desert adventure;globetrotting adventure;civil war;desert;ship;dictator;explorer;treasure;africa;sand;battle;river;epidemic;warlord;tyrant;doctor;f rated;bikini;latex gloves;two man army;henchman;villain;foot chase;captive;capture;bombardment;damsel in distress;rescue;standoff;ocean;bathing suit;kiss;gunfight;shootout;dagger;knife;kidnapping;surfer;buddy movie;jeep;sniper;sniper rifle;beating;gun battle;duel;exploding building;fictional war;showdown;helicopter chase;hand to hand combat;shot in the face;ambush;chase;car chase;brawl;semiautomatic pistol;tough guy;ak 47;hero;subjective camera;fight;solar system;falling to death;escape;poison;sahara desert;revolver;mali;boat;outbreak;lagos nigeria;myth;captain;cannon fire;cannonball;ironclad ship;attempted murder;mysterious disease;one word title;assault rifle;wristwatch;handcuffs;vintage car;train;solar power;nigeria;lighthouse;flashback;flare gun;falling from height;exploding helicopter;contamination;coin;cave painting;camel;boat ride;boat chase;corporate crime;responsibility;honor;compassion;world health organization;well;treasure hunt;toxic waste;shot in the chest;scuba diving;pistol;nuclear waste;machine gun;gun;gold;explosion;execution;embassy;dynamite;cannon;bomb;admiral;action hero;helicopter;exploding boat;american civil war;based on book;based on novel;martial arts
Numb3rs,7,42K,126,17,Crime;Drama;Mystery,,21st century;intelligence;police officer;sex scene;watching tv;paramount;fbi federal bureau of investigation;fbi agent;timeframe 21st century;police procedural crime;timeframe 2000s;mathematician;science;mathematics;digit in series title;analogy;university professor;boyfriend girlfriend relationship;estranged family member;campus;estrangement;grief;math;university;notebook;mixed alpha numeric title;brotherly love;intentionally misspelled title;suspense;murder investigation;female agent;federal agent;father son relationship;college professor;college campus;babe scientist;police detective;detective;los angeles california;genius;brother brother relationship;title spoken by character
Baadasssss!,7.3,4.9K,49,78,Biography;Drama,"Melvin Van Peebles stunned the world for the first time, with his debut feature, The Story of a Three Day Pass. Filmed in France and selected as the French entry in the San Francisco Film Festival, Melvin's film was awarded the top prize. Saying it was controversial would be an understatement. In 1968 for a black man to walk up to the podium and accept the top festival award for a film he had to go abroad to make--now that's how you make your mark. After his comedy, Watermelon Man, Melvin was determined to push the Hollywood boundaries with the groundbreaking, and even more controversial, Sweet Sweetback's Baadasssss Song. Turned down by every major studio including Columbia, where he had a three-picture deal, Melvin was forced to basically self-finance. Risking everything he had, Melvin delivered to the world the first Black Ghetto hero on the big screen--whether they were ready or not. More than 30 years later, history is being fashioned again in the telling of this very tale. Mario Van Peebles, Melvin's son, directs an honest and revealing portrait of his pioneering father. Mario now tells the story of the making of Melvin Van Peebles' landmark 1971 film, Sweet Sweetback's Baadasssss Song, including Melvin's struggles to raise money to fund the film under the guise of creating a black porno film. Melvin had ducked creditors, the unions and had to bail out his camera crew after they were arrested because a white cop decided a bunch of Negroes and hippies couldn't have come by that camera equipment honestly. Despite death threats and temporarily losing sight in one eye, Melvin somehow managed to whip into shape a rag-tag, multi-racial crew and finish the film that would give birth to birth of a new era which was about to explode: Independent Black Cinema.",homage;archive footage;film in film;movie producer;movie director;underdog;racism;prejudice;filmmaking;african american;1970s;timeframe 1970s;black man;box office;movie theatre patron;movie theater;watching a movie;quarrel;movie production;movie set;movie camera;16mm camera;see through gown;black woman;film production;revolver;interview;body paint;single parent;cameo;porn producer;voice actor;voice over narration;written and directed by cast member;father son relationship;blaxploitation;interracial relationship;based on true story;breasts;rape;scene during end credits;pubic hair;female pubic hair;bare butt;male rear nudity;cigar smoking;bare chested male;see through clothes;nudity;female full frontal nudity;female nudity;question in title;punctuation in title;apostrophe in title;profanity in title
Monk,8.1,73K,232,31,Comedy;Crime;Drama,,obsessive compulsive disorder;2000s;21st century;character name as series title;tony shalhoub character;male protagonist;universal;usa network;police procedural crime;cop drama;bumbling detective mystery;timeframe 2000s;timeframe 21st century;detective;murder;ocd;latex gloves;caucasian;series title spoken by character;surname as series title;one word series title;widower;san francisco california;disney;multiple actors for one character
House of 1000 Corpses,6,84K,1K,220,Horror,"On the eve of Halloween, on October 1977, four friends--Bill, Jerry, Mary, and Denise--embark on an exciting cross-country road trip to write a guidebook about offbeat roadside attractions in America's less-travelled roads. Before long, the young explorers chance upon Captain Spaulding's Museum of Monsters and Madmen, only to become infatuated with the local legend of a deranged serial-killer doctor, and cross paths with the mysterious hitchhiker, Baby. However, when the unsuspecting group meets Baby's eccentric family after having a flat tyre, an endless night of terror, torture, and murder ensues. Has anyone ever got out alive from the House of Thousand Corpses?",depravity;masked man;giant;clown face;axe;family relationships;evil doctor;clown makeup;captive;head brace;gang of serial killers;family of killers;sadistic psychopath;blood;evil man;fried chicken;corpse;pig;house;murder;violence;cult film;cult figure;halloween;surrealism;cult director;music score composed by director;home movie;face paint;freak;monster;fire;no survivors;watching tv;sex scene;slow motion scene;dream;nightmare;hallucination;attempted robbery;dancing;chase;slasher;flashback;sleeping in a car;murder of a police officer;madness;tv host;blood splatter;beating;map;subjective camera;bound and gagged;trick or treat;dark comedy;shot in the back;shot in the head;cross;jealousy;car accident;reference to mickey mouse;reference to donald duck;torture;shot in the neck;shot in the face;shot to death;mannequin;rabbit costume;mask;pistol;flatulence;gore;coffin;lifting someone into the air;grave;kidnapping;buried alive;shot in the forehead;female rear nudity;cave in;tunnel;long take;shotgun;gas station;auto mechanic;crushed to death;rifle;knife;ritual;cemetery;held at gunpoint;slasher killer;tied up;candlelight;reference to charles manson;reference to john wayne;reference to ed gein;reference to nancy drew;reference to jayne mansfield;madman;ghoul;satanic ritual;roadside attraction;police car;raised middle finger;severed hand;severed face;neck brace;killer clown;clown;jack o'lantern;hiding in a car;cave;photograph;hanging;theater;fetus in a jar;death of boyfriend;gas mask;insanity;mental hospital;mental illness;pit;funeral;radio dj;night vision;theft;serial killer;dead woman with eyes open;skull;skeleton;maniac;revolver;stabbed to death;disappearance;seduction;deputy;breaking through a door;point of view;character's point of view camera shot;lightning;underground;knife throwing;museum;tattoo;stabbed in the chest;nickname;exploitation film;first part;tied to a chair;missing person;missing person poster;lantern;shooting out tire;phone booth;funhouse;cheerleader;split screen;billboard;sadism;graveyard;poem;police lieutenant;commercial;stocking cap;hand cut off;dunce cap;reverse negative;thong;duct tape over mouth;intestines;psychedelic;gash in the face;victim invited to dinner;female serial killer;hitchhiker;psycho;tied to a bed;hidden gun;scalping;drinking and driving;breaking a car window;spotlight;hit with a baseball bat;tow truck;dumb criminal;walkie talkie;needle;burned body;tape recorder;liquor store;broken windshield;knife in the chest;burn victim;straight edge razor;threatened with a knife;newsreel footage;mounted animal head;body in a trunk;evil;retro;retro horror;horror host;male horror host;usa male horror host;usa horror host;psychotronic film;american cinema;american horror;bad guy;villain;homicidal maniac;slaughtered;stabbing;mutilation;sadistic murderer;disturbed person;deeply disturbed person;killed by a serial killer;sadistic violence;murdered with a knife;countryside;slasher murderer;white trash;slashed to death;slashing;evil woman;psychopathic killer;female psychopath;female villain;serial murder;redneck;psychopathic murderer;psychopath;psycho killer;character repeats someone else's dialogue;characters murdered one by one;murder spree;man wears eyeglasses;grindhouse film;family of serial killers;absurd violence;sadistic man;sadistic serial killer;horror icon;rape;making love;lovemaking;love making;fornication;sexual pleasure;supernatural horror;black comedy;directorial debut;car;automobile;u.s. car;rambler;rambler motor vehicle;sadistic horror;teen slasher;supernatural serial killer;lions gate films;actor plays multiple roles;body lands on a car;brutality;murderess;bare breasts;backwoods;hillbilly horror;hillbilly;splatter horror;cannibalism;urban legend;human monster;tourist attraction;mental retardation;male female relationship;father son relationship;bare chested male;mother daughter relationship;brother sister relationship;father daughter relationship;boyfriend girlfriend relationship;road trip;torso cut in half;person on fire;old dark house;mass murder;death of father;independent film;surprise ending;evil clown;fear;creature feature;rain;death;tv news;sheriff
MDs,8,144,9,1,Drama,,sick patient;patient;medicine;surgical;nurse;doctor;medical mask;medical gowns;latex gloves;medical;hospital;san francisco california
Law & Order: Special Victims Unit,8.1,98K,375,38,Crime;Drama;Mystery,,shared universe;ampersand in title;sexually motivated;sexually motivated assault;date rape;drugged and raped;false imprisonment;police;police procedural crime;cop drama;timeframe 1990s;timeframe 2000s;timeframe 2010s;timeframe 2020s;timeframe 20th century;timeframe 21st century;whodunnit mystery;victim;detective;new york city;justice;investigation;trial;latex gloves;judicial system;judiciary;court;police unit;child born of rape;procedure;nun;mysterious event;violence;suspicion;suspect;sexual violence;sexual murder;sexual abuse;sex talk;revelation;rape;police officer;police investigation;police interrogation;murder;murder investigation;lawyer;judge;interrogation;homicide;district attorney;death;danger;criminal investigation;courtroom;confession;confession of a crime;attorney;police detective;sex crime;punctuation in title
Self Storage,7.2,26,1,,Short,,
Full Frontal,4.7,11K,169,104,Comedy;Romance,Arty film-within-a-film revolves around seven people with little in common whose lives collide.,sex;hollywood;party;birthday;friend;birthday party;film within a film;volkswagen passat;volkswagen;automobile;car;reference to cuba gooding jr;satire;film executive;adult filmmaking;oven;slobbering;sighing;grunting;moaning;refrigerator;beer;coin purse;pager;crawling on the floor;anxiety;tucson arizona;gangster;reference to santa claus;africa;kitchen;play rehearsal;rehearsal;drinking blood;dead wolf;sister sister relationship;rendezvous;post it;food;reference to george bernard shaw;university of toronto;desert;holiday inn;southwest airlines;men's bathroom;urination;reference to kirk douglas;parking garage;jew;faith the magazine;apple computer;reference to joseph goebbels;brownie;dream;job interview;erection;adult bookstore;robbery;flatiron building manhattan new york city;magazine writer;writer;veterinarian;hashish;tuxedo;plastic bag over head;videotaping sex;film set;falling off a chair;backstage;berkshire massachusetts;food court;restaurant;cafe;death;hand job;theater production;theater audience;reference to harold pinter;reference to the duchess of malfi the stage play;pilates;drunkenness;drinking;drink;pajamas;hunger;milk and cookies;republican;democrat;manhattan new york city;new york city;reference to harvey weinstein;money;dating;interracial sex;exhibitionism;reference to al pacino;painting;painter;artist;screenwriter;playwright;40th birthday;stranger;chance meeting;secret;internet dating;chat room;tape recorder;reference to tom sizemore;reference to little black sambo;reference to chris tucker;reference to stepin fetchit;letter;airport;reference to pablo picasso;reference to danny kaye;reference to peter ustinov;reference to alan alda;sidekick;clapperboard;birthday gift;mother daughter relationship;father daughter relationship;computer;cigarette smoking;underwear;tattoo;reference to werner herzog;reference to jack lalanne;movie star;film producer;reference to will smith;reference to wesley snipes;reference to chris rock;reference to denzel washington;reference to sidney poitier;african american;internet;lie;thirty something;massage therapist;male female relationship;reference to eva braun;film crew;nudity;reference to brad pitt;anger management;therapy;improvisation;friendship;actor;masseuse;husband wife relationship;marriage;actress;voice over narration;low budget film;autoerotic asphyxiation;director also cinematographer;dog;massage;interview;acting;interracial relationship;airplane;asphyxiation;los angeles california;filmmaking;stage play;hotel;fired from a job;reference to adolf hitler
America's Sweethearts,5.7,58K,350,120,Comedy;Romance,"In the midst of a nasty public breakup of married movie stars, a studio publicist scrambles to put a cap on the escalating situation as the couple's latest film has found its only print kidnapped by the director.",breakup;satire;love triangle;hotel;romantic rivalry;husband wife relationship;publicist;actor;actress;hollywood;sister sister relationship;celebrity;film within a film;media;narcissism;narcissist;personal assistant;limousine;therapy;weight loss;unrequited love;interview;selfishness;film director;nervous breakdown;film producer;film screening;love;marital separation;restaurant;filmmaking;jealousy;depression;title spoken by character;rain;film star;lisping;recluse;walkie talkie;motorcycle;rescue;flashback;helicopter;rooftop;implied sex;egotism;film studio;drink thrown into someone's face;doberman;film promotion;film business;fire hose;fistfight;candid camera;infidelity;funny accent;dog;paparazzi;obesity;los angeles california;publicity
CSI: Crime Scene Investigation,7.7,82K,264,54,Crime;Drama;Mystery,,crime scene investigation;las vegas nevada;crime lab;police;detective;forensics;forensic science;crime scene investigator;police procedural;police detective;usa;united states;investigation;evidence;nevada;investigator;medical examination;police captain;interrogation room;unsolved crime;suspicion;suspect;police station;police officer;scene of the crime;forensic evidence;murder;criminal investigation;murder investigation;shared universe;bloody violence;serial killer;serial killer m.o.;babe scientist;punctuation in series title;acronym in title;female police officer;black comedy;police procedural crime;cop drama;timeframe 2000s;timeframe 2010s;suspense mystery;male police officer;city;night shift;solving crime;justice;cut;friendship between men;arrest;serial murder;dark comedy;colon in series title;acronym in series title;abbreviation in series title;coworker coworker relationship;autopsy;lab technician;interracial friendship;scene before opening credits;nighttime;graveyard shift;2010s;2000s;cause of death;female journalist;violence;suspense;stabbed to death;scientist;psychologist;office;nudity;mystery killer;mysterious death;witness to a murder;murder suspect;murder confession;journalist;interrogation;inspector;homicide;gore;death;dead woman;dead man;couple;corruption;corpse;blonde;coroner;science;copaganda
Dark Angel,7.4,32K,176,11,Action;Drama;Mystery,"In a future of political, economic and moral collapse, a genetically enhanced superhuman prototype named Max escapes from military confines and dwells amidst the decadent underground street life of *Seattle* to avoid government agents who want to bring her back into the fold. Searching for others of her kind who were scattered in the aftermath of her escape, Max encounters Logan, an idealistic cyber-journalist battling repression and corruption in post-apocalypse America. Eventually, Logan calls her to the highest part of her being and Max becomes his samurai as the pair takes on the ruthless power-brokers of the new millennium. Max and Logan's odyssey leads them closer to the secret of her past, deepening and complicating their relationship in the process.",post apocalypse;dystopia;mixed martial arts;martial arts;female martial artist;secret organization;cat burglar;seattle washington;future;female protagonist;tough girl;one woman army;flashback;action heroine;mutant;hidden identity;experiment gone wrong;cloning;apocalypse;government conspiracy;electro magnetic pulse;television;bicycle messenger;motorcycle;police corruption;genetic engineering;cyberpunk;barcode tattoo;karate;kung fu;roundhouse kick;one against many;karate chop;psychotronic series;superhero;girls with guns;timeframe 2010s;messenger;violence;surrealism;underworld;hacker;double life;femme fatale;dark heroine;cult tv;space needle;pirate broadcast;lesbian;wheelchair;disguise;lasersight;paranoia;2010s
When Billie Beat Bobby,6.1,616,17,4,Comedy;Drama;Sport,,las vegas nevada;slapstick comedy;title directed by female;women's liberation;tennis sport;champion;tennis match;tennis;feminist;f rated;husband wife relationship;suburb;slow motion scene;shower;golfing;new york city;defeat;hawaii;uniform;airliner;tv producer;japanese;photographer;fan;gala;camera;music band;dancing;year 1972;hustler;rite;gambling;voice over;ritual;reference to lawrence welk;playing cards;videotape;golf course;press conference;mother's day;houston texas;newscast;stewardess;autograph;watching tv;airport;subtitles;tokyo japan;spanish;year 1973;association;police station;tradition;american;little boy;competition;england;tomboy;freeze frame;wimbledon;photograph;little girl;dressing room;australian;betting;racquet;journalist;training;denver colorado;reference to joe frazier;bra;dream sequence;equality;victory;split screen;mariachi band;palm tree;celebrity;microphone;south carolina;press;video camera;star;interview;fame;reporter;tennis court;audience;daughter;championship;reference to muhammad ali;mother;flashback;football;bar;reference to p.t. barnum;doctor;reference to jim brown;cheerleader;pig;reference to george foreman;fantasy sequence;marching band;cheering;hotel;placard;anger;newscaster;restaurant;monitor;promoter;baseball;san diego california;father;money;applause;spectator;trophy;detroit;athlete;tennis player;battle of the sexes;homosexuality;texas;media hype;spoof;based on true story;character name in title
Charmed,7.2,81K,446,23,Drama;Fantasy;Mystery,,power of three;magic;witchcraft;book of shadows;san francisco california;sister sister relationship;telekinesis;telepathy;black magic;famous opening theme;mother daughter relationship;girl power;witch;female protagonist;campy;boyfriend girlfriend relationship;witch family;wicca;white magic;potion;levitation;good versus evil;cult tv;supernatural power;evil;fight;detective;police detective;villainess;spell book;love interest;police;police officer;black cop;cleavage;worldvision;protagonist trio;female protagonists;pretty woman;sexy witch;three witches;trio;trio of witches;female trio;supernatural fantasy;timeframe 1990s;timeframe 2000s;timeframe 20th century;timeframe 21st century;supernatural drama;demon;heroine;female warrior;tough girl;action heroine;surrealism;one word series title;new age;hereditary gift of witchcraft;family relationships;golden gate bridge;martial arts;shipper;spell;hocus pocus;book;villain;cat;california;occult;psychotronic series
Almost Famous,7.9,270K,918,168,Adventure;Comedy;Drama,"The early 1970s. William Miller is 15-years old and an aspiring rock journalist. He gets a job writing for Rolling Stone magazine. His first assignment: tour with the band Stillwater and write about the experience. Miller will get to see what goes on behind the scenes in a famous band, including the moments when things fall apart. Moreover, for him, it will be a period of new experiences and finding himself.",rock 'n' roll;rolling stone magazine;smoking marijuana;on the road;rock musician;journalism;music industry;1970s;music journalism;tour bus;band;manic pixie dream girl;sex;female nudity;music group;semi autobiographical;coming of age film;sexual pleasure;red panties;sexual attraction;scantily clad female;teenage sexuality;premarital sex;reference to pubic hair;tour;high school;coming of age;rock band;teen sexuality;reference to the rolling stones;reference to led zeppelin;reference to iggy pop;reference to david bowie;reference to bob dylan;drugs;virgin;undressing;loss of virginity;leaving home;framing scene with hands;wet clothes;virginity;underwear;aspiring writer;adultery;acid;do not disturb sign;record player;classic rock music;rock group;groupie;mother son relationship;stewardess;journalist;brother sister relationship;creem magazine;based on true story;female removes her clothes;breasts;panties;white panties;cheating wife;bare chested teenage boy;road movie;woman sits on a toilet;cigarette;teenage girl wears underwear;woman urinates;road trip comedy;teen drama;coming of age drama;music rock;timeframe 1970s;road trip adventure;magazine;boy;concert;teen movie;vomiting;voyeur;reference to neil young;reference to george orwell;reference to george orwell's 1984;boy wears underwear;quaalude;reference to deep purple;reference to annie leibovitz;loss of innocence;interview;whistling;watching tv;travel;tempe arizona;teen drug use;teenage girl;teenage boy;teacher;tape recording;secret;rock singer;reference to the who;reference to the doors;reference to the beatles;reference to the allman brothers;reference to pink floyd;reference to elton john;reference to black sabbath;reference to alice cooper;recording artist;promiscuity;poetry;pills;parking lot;music concert;money;lesbian kiss;ironing;illegal drugs;hotel room;hotel;f word;family relationships;embarrassment;elevator;eccentric;drums;crying;clothes iron;camera;california;blonde;birthday cake;birthday;bell bottoms;bathroom;band member;backstage pass;anger;alcohol;adolescence;los angeles california;sunset strip;cleveland ohio;topeka kansas;phoenix arizona;greeneville tennessee;san diego california;san francisco california;unfaithfulness;thunderstorm;telephone call;telephone;t shirt;swimming;stage performance;stage;song;singing;singer;running;romantic rivalry;recording;reconciliation;reading;prologue;male female relationship;poet;piano playing;photograph;pay phone;party;microphone;mending friendship;male virgin;loss of father;listening to music;lightning;legend;kiss on the lips;kiss;humiliation;guitar playing;guitar;guilt;friendship;friend;food;following a dream;fistfight;eating;drumsticks;drummer;drug humor;drinking;drink;dancing;dance;character says i love you;car;bus;boyfriend girlfriend relationship;boston massachusetts;book;betrayal;beer;barefoot;ambition;alcoholic drink;title appears in text;swimming pool;reference to lou reed;older man younger woman relationship;marijuana;love triangle;guitarist;graduation;false name;drunkenness;cheating;cheating on one's partner;bus trip;briefs;bar;overalls;urination;bare chested male;roadtrip;character lies about age;road trip;jumping into a pool with clothes on;character appears on magazine cover;reference to goethe;volkswagen bus;pill box;pill bottle;pill abuse;hallucinogen;flying through a storm;reference to jim morrison;new york city;dancing in one's underwear;underage sex;title appears in writing;single parent;jumping into a swimming pool;infidelity;falling off a roof;electrocution;confession;cheating husband;bong;growing up;egotism;drug use;drug overdose;airplane;guitar player;teenager;teenage crush;rock star;rock concert;musician;music business;obscene finger gesture;lsd;student mentor relationship;ego;rock music;surrogate family;muse;defloration;fame;mother daughter relationship;fictional band;suicide attempt;death of father;movie flop;pill popping;older man younger man relationship;cigarette smoking;coming out;raised middle finger;homosexual;bandage;progressive rock;domineering mother
The Expendables,5.7,13,,,Action,,independent film
